"","start","end","reads","Experiment","Novel","ID","norm_reads"
"1",7332381,7364455,1,"3962_2",TRUE,1,1.71417796595643e-05
"2",7332381,7365942,1,"3962_2",TRUE,2,1.71417796595643e-05
"3",7363064,7363353,1,"4024_1",TRUE,3,1.71417796595643e-05
"4",7363110,7363680,1,"3962_2",TRUE,4,1.71417796595643e-05
"5",7363414,7363688,1,"4024_1",TRUE,5,1.71417796595643e-05
"6",7363746,7364597,5,"3962_2",TRUE,6,8.57088982978213e-05
"7",7363749,7364331,1,"4024_1",TRUE,7,1.71417796595643e-05
"8",7363749,7364331,1,"4049_1",TRUE,8,1.71417796595643e-05
"9",7364023,7365456,1,"4049_1",TRUE,9,1.71417796595643e-05
"10",7364242,7365072,1,"3962_2",TRUE,10,1.71417796595643e-05
"11",7364317,7365153,2,"4049_1",TRUE,11,3.42835593191285e-05
"12",7364323,7365456,1,"4049_1",TRUE,12,1.71417796595643e-05
"13",7364592,7365153,1,"3962_2",TRUE,13,1.71417796595643e-05
"14",7364592,7365153,1,"4049_1",TRUE,14,1.71417796595643e-05
"15",7364598,7364875,1,"3962_1",TRUE,15,1.71417796595643e-05
"16",7361868,7363023,1989,"3962_1",FALSE,16,0.0340949997428733
"17",7361868,7363023,7179,"3962_2",FALSE,17,0.123060836176012
"18",7361868,7363023,2253,"4024_1",FALSE,18,0.0386204295729983
"19",7361868,7363023,8146,"4049_1",FALSE,19,0.13963693710681
"20",7361868,7363331,300,"3962_1",FALSE,20,0.00514253389786928
"21",7361868,7363331,1476,"3962_2",FALSE,21,0.0253012667775168
"22",7361868,7363331,498,"4024_1",FALSE,22,0.008536606270463
"23",7361868,7363331,1703,"4049_1",FALSE,23,0.0291924507602379
"24",7361868,7363594,683,"3962_1",FALSE,24,0.0117078355074824
"25",7361868,7363594,1675,"3962_2",FALSE,25,0.0287124809297701
"26",7361868,7363594,648,"4024_1",FALSE,26,0.0111078732193976
"27",7361868,7363594,2339,"4049_1",FALSE,27,0.0400946226237208
"28",7361868,7363880,50,"3962_1",FALSE,28,0.000857088982978213
"29",7361868,7363880,196,"3962_2",FALSE,29,0.00335978881327459
"30",7361868,7363880,51,"4024_1",FALSE,30,0.000874230762637777
"31",7361868,7363880,201,"4049_1",FALSE,31,0.00344549771157242
"32",7361868,7364177,927,"3962_1",FALSE,32,0.0158904297444161
"33",7361868,7364177,3069,"3962_2",FALSE,33,0.0526081217752027
"34",7361868,7364177,1146,"4024_1",FALSE,34,0.0196444794898606
"35",7361868,7364177,3851,"4049_1",FALSE,35,0.066012993468982
"36",7361868,7364455,755,"3962_1",FALSE,36,0.012942043642971
"37",7361868,7364455,3066,"3962_2",FALSE,37,0.052556696436224
"38",7361868,7364455,928,"4024_1",FALSE,38,0.0159075715240756
"39",7361868,7364455,3319,"4049_1",FALSE,39,0.0568935666900938
"40",7361868,7364731,190,"3962_1",FALSE,40,0.00325693813531721
"41",7361868,7364731,802,"3962_2",FALSE,41,0.0137477072869705
"42",7361868,7364731,274,"4024_1",FALSE,42,0.00469684762672061
"43",7361868,7364731,910,"4049_1",FALSE,43,0.0155990194902035
"44",7361868,7365017,226,"3962_1",FALSE,44,0.00387404220306152
"45",7361868,7365017,1129,"3962_2",FALSE,45,0.019353069235648
"46",7361868,7365017,338,"4024_1",FALSE,46,0.00579392152493272
"47",7361868,7365017,1330,"4049_1",FALSE,47,0.0227985669472205
"48",7361868,7365311,277,"3962_1",FALSE,48,0.0047482729656993
"49",7361868,7365311,1030,"3962_2",FALSE,49,0.0176560330493512
"50",7361868,7365311,299,"4024_1",FALSE,50,0.00512539211820971
"51",7361868,7365311,1260,"4049_1",FALSE,51,0.021598642371051
"52",7361868,7365942,198,"3962_1",FALSE,52,0.00339407237259372
"53",7361868,7365942,546,"3962_2",FALSE,53,0.00935941169412208
"54",7361868,7365942,204,"4024_1",FALSE,54,0.00349692305055111
"55",7361868,7365942,705,"4049_1",FALSE,55,0.0120849546599928
"56",7361868,7366465,24,"3962_1",FALSE,56,0.000411402711829542
"57",7361868,7366465,237,"3962_2",FALSE,57,0.00406260177931673
"58",7361868,7366465,75,"4024_1",FALSE,58,0.00128563347446732
"59",7361868,7366465,251,"4049_1",FALSE,59,0.00430258669455063
"60",7361868,7366804,196,"3962_1",FALSE,60,0.00335978881327459
"61",7361868,7366804,470,"3962_2",FALSE,61,0.0080566364399952
"62",7361868,7366804,220,"4024_1",FALSE,62,0.00377119152510414
"63",7361868,7366804,678,"4049_1",FALSE,63,0.0116221266091846
